+--------------------+------------------+------------------+-------+--------------------------------+-------------------------------------+------+--------+--------+-----+------------+
|        Name        |       Card       |       Type       | Brand |            Country             |                 Bank                | Luhn | Length | Expiry | CVV |   Status   |
+--------------------+------------------+------------------+-------+--------------------------------+-------------------------------------+------+--------+--------+-----+------------+
|    James Morris    | 4840416577300061 |       Visa       |  visa | United States of America (the) |   Southwest Louisiana Credit Union  |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|  Brandon Edwards   | 4437628416964736 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Madison Perez    | 4798092513689781 |       Visa       |  visa | United States of America (the) | Bank Of America - Commercial Credit |  ✔   |   ✔    |   ✔    |  ✔  |  VALID ✅  |
|    Mason Watson    | 4718468321850900 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Sophia Martin    | 4163952512007908 |       Visa       |  visa |             Italy              |            Isybank S.P.A.           |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Zoey Peterson    | 4182925019919157 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|    Tyler Torres    | 4590018401062788 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|     Leah Clark     | 4663824264090026 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|     Lucas Diaz     | 4605294977088662 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|    Dylan Gomez     | 4579195694334608 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|      Nora Cox      | 4661534270979747 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Michael Lopez    | 4154548005634281 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Jonathan Allen   | 4826140966912380 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|    Robert Perez    | 4774692234114882 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✔   |   ✔    |   ✔    |  ✔  |  VALID ✅  |
|    Evelyn Scott    | 4744598447247441 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|  William Martinez  | 4237889609361608 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✔   |   ✔    |   ✔    |  ✔  |  VALID ✅  |
| Madison Richardson | 4879818124348503 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|  Isabella Parker   | 4525331399192916 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|   Chloe Robinson   | 4769839640430373 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
|    Sophia Moore    | 4248395358075266 |       Visa       |  N/A  |              N/A               |                 N/A                 |  ✘   |   ✔    |   ✔    |  ✔  | INVALID ❌ |
